person,source,haul_id,age,length_cm,weight_g,gender,maturity_stage,maturity,spawning
Pamela J. Woods,IFGS,44154,7,30,NA,M,1,immature,no
Pamela J. Woods,IFGS,44154,7,32,NA,M,1,immature,no
Pamela J. Woods,IFGS,44154,7,34,NA,M,1,immature,no
Pamela J. Woods,IFGS,44151,1,15,NA,NA,NA,NA,NA
Pamela J. Woods,IFGS,44150,5,30,NA,M,1,immature,no
Pamela J. Woods,IFGS,44150,7,35,NA,M,2,mature,no
Pamela J. Woods,IFGS,44149,4,29,NA,F,1,immature,no
Pamela J. Woods,IFGS,44149,4,27,NA,M,1,immature,no
Pamela J. Woods,IFGS,44271,8,36,NA,M,1,immature,no
Pamela J. Woods,IFGS,44270,7,38,NA,M,1,immature,no
Pamela J. Woods,IFGS,44270,1,17,NA,M,1,immature,no
Pamela J. Woods,IFGS,44383,NA,29,NA,M,1,immature,no
Pamela J. Woods,IFGS,44382,NA,26,NA,M,1,immature,no
Pamela J. Woods,IFGS,44452,14,48,NA,F,4,mature,no
Pamela J. Woods,IFGS,44452,10,42,NA,M,2,mature,no
Pamela J. Woods,IFGS,44452,11,42,NA,M,2,mature,no
Pamela J. Woods,IFGS,44449,9,41,NA,M,2,mature,no
Pamela J. Woods,IFGS,44449,14,44,NA,F,2,mature,no
Pamela J. Woods,IFGS,44449,10,43,NA,F,2,mature,no
Pamela J. Woods,IFGS,44449,9,40,NA,F,2,mature,no
Pamela J. Woods,IFGS,44449,9,43,NA,M,2,mature,no
Pamela J. Woods,IFGS,44449,10,40,NA,M,2,mature,no
Pamela J. Woods,IFGS,44449,9,38,NA,M,1,immature,no
Pamela J. Woods,IFGS,44449,8,39,NA,F,1,immature,no
Pamela J. Woods,IFGS,44449,12,43,NA,F,2,mature,no
Pamela J. Woods,IFGS,44449,16,47,NA,F,2,mature,no
Pamela J. Woods,IFGS,44449,9,42,NA,M,2,mature,no
Pamela J. Woods,IFGS,44449,10,44,NA,F,2,mature,no
Pamela J. Woods,IFGS,44441,18,50,NA,F,2,mature,no
Pamela J. Woods,IFGS,44439,20,51,NA,F,2,mature,no
Pamela J. Woods,IFGS,44439,24,54,NA,F,2,mature,no
Pamela J. Woods,IFGS,44439,16,53,NA,F,2,mature,no
Pamela J. Woods,IFGS,44457,13,46,NA,F,2,mature,no
Pamela J. Woods,IFGS,44457,16,46,NA,F,2,mature,no
Pamela J. Woods,IFGS,44457,11,47,NA,F,2,mature,no
Pamela J. Woods,IFGS,44457,13,45,NA,M,2,mature,no
Pamela J. Woods,IFGS,44456,20,51,NA,F,2,mature,no
Pamela J. Woods,IFGS,44456,10,46,NA,F,2,mature,no
Pamela J. Woods,IFGS,44456,16,49,NA,F,2,mature,no
Pamela J. Woods,IFGS,44455,18,51,NA,F,2,mature,no
Pamela J. Woods,IFGS,44455,NA,53,NA,F,2,mature,no
Pamela J. Woods,IFGS,44454,12,45,NA,F,2,mature,no
Pamela J. Woods,IFGS,44454,14,49,NA,F,2,mature,no
Pamela J. Woods,IFGS,44500,NA,52,NA,F,2,mature,no
Pamela J. Woods,IFGS,44499,14,50,NA,F,2,mature,no
Pamela J. Woods,IFGS,44499,17,49,NA,M,2,mature,no
Pamela J. Woods,IFGS,44499,19,49,NA,F,2,mature,no
Pamela J. Woods,IFGS,44499,NA,52,NA,F,2,mature,no
Pamela J. Woods,IFGS,44499,16,49,NA,F,2,mature,no
Pamela J. Woods,IFGS,44499,14,48,NA,M,2,mature,no
Pamela J. Woods,IFGS,44498,20,49,NA,M,2,mature,no
Pamela J. Woods,IFGS,44498,14,45,NA,M,4,mature,no
Pamela J. Woods,IFGS,44195,5,29,NA,M,1,immature,no
Pamela J. Woods,IFGS,44195,8,37,NA,M,1,immature,no
Pamela J. Woods,IFGS,44195,13,43,NA,F,2,mature,no
Pamela J. Woods,IFGS,44193,3,21,NA,F,1,immature,no
Pamela J. Woods,IFGS,44193,4,27,NA,F,1,immature,no
Pamela J. Woods,IFGS,44193,2,19,NA,M,1,immature,no
Pamela J. Woods,IFGS,44193,4,26,NA,M,1,immature,no
Pamela J. Woods,IFGS,44193,2,17,NA,M,1,immature,no
Pamela J. Woods,IFGS,44193,1,15,NA,F,1,immature,no
Pamela J. Woods,IFGS,44193,5,27,NA,M,1,immature,no
Pamela J. Woods,IFGS,44193,3,22,NA,M,1,immature,no
Pamela J. Woods,IFGS,44193,4,26,NA,M,1,immature,no
Pamela J. Woods,IFGS,44193,2,19,NA,F,1,immature,no
Pamela J. Woods,IFGS,44192,11,40,NA,M,4,mature,no
Pamela J. Woods,IFGS,44192,9,38,NA,F,4,mature,no
Pamela J. Woods,IFGS,44192,8,37,NA,M,4,mature,no
Pamela J. Woods,IFGS,44191,14,46,NA,F,2,mature,no
Pamela J. Woods,IFGS,44191,7,34,NA,F,1,immature,no
Pamela J. Woods,IFGS,44191,9,33,NA,F,2,mature,no
Pamela J. Woods,IFGS,44191,NA,45,NA,M,1,immature,no
Pamela J. Woods,IFGS,44191,7,32,NA,M,1,immature,no
Pamela J. Woods,IFGS,44191,NA,49,NA,F,2,mature,no
Pamela J. Woods,IFGS,44191,NA,50,NA,F,2,mature,no
Pamela J. Woods,IFGS,44191,NA,53,NA,F,2,mature,no
Pamela J. Woods,IFGS,44191,24,49,NA,F,2,mature,no
Pamela J. Woods,IFGS,44191,23,48,NA,M,2,mature,no
Pamela J. Woods,IFGS,44191,5,30,NA,M,1,immature,no
Pamela J. Woods,IFGS,44191,8,37,NA,F,2,mature,no
Pamela J. Woods,IFGS,44191,7,34,NA,M,1,immature,no
Pamela J. Woods,IFGS,44190,16,44,NA,M,2,mature,no
Pamela J. Woods,IFGS,44190,7,33,NA,F,1,immature,no
Pamela J. Woods,IFGS,44190,15,41,NA,F,2,mature,no
Pamela J. Woods,IFGS,44356,NA,21,NA,M,1,immature,no
Pamela J. Woods,IFGS,44510,10,42,NA,M,4,mature,no
Pamela J. Woods,IFGS,44510,17,50,NA,F,4,mature,no
Pamela J. Woods,IFGS,44510,9,43,NA,M,2,mature,no
Pamela J. Woods,IFGS,44510,17,50,NA,F,4,mature,no
Pamela J. Woods,IFGS,44509,10,44,NA,F,2,mature,no
Pamela J. Woods,IFGS,44505,5,34,NA,M,2,mature,no
Pamela J. Woods,IFGS,44504,6,36,NA,M,1,immature,no
Pamela J. Woods,IFGS,44504,9,40,NA,M,1,immature,no
Pamela J. Woods,IFGS,44504,5,36,NA,M,1,immature,no
Pamela J. Woods,IFGS,44504,6,33,NA,M,1,immature,no
Pamela J. Woods,IFGS,44637,NA,51,NA,M,2,mature,no
